name,gender,age,city,income
Christine Russell,Male,52,Jotegoad,4130.21
Caleb Wallace,Male,61,Kokujfon,7987.48
Agnes Walton,Male,43,Vohvefnos,7899.52
Alexander Banks,Male,39,Fizdiptan,5736.40
Alan Houston,Female,37,Faruwga,7016.93
Leonard Gray,Female,42,Potwogta,8861.57
Abbie Adkins,Female,31,Tevemge,7618.57
Henry Swanson,Male,46,Fekijni,1653.94
Jimmy Gomez,Male,39,Gektonhal,8731.09
Elizabeth Daniel,Male,56,Dubwatgu,9364.11
Leo Bowman,Male,26,Piniobi,8313.68
Dorothy Bass,Male,44,Hojuzgag,7812.52
Alex McKinney,Male,62,Ezlugov,5514.13
Mildred Hoffman,Female,40,Lebkaefo,5701.70
Helena Ramsey,Female,32,Rirdohvul,5523.49
Annie Burke,Male,35,Mizizva,3305.08
Alice George,Female,56,Mertepa,8587.98
Noah Shaw,Male,58,Ugepuwwa,7783.63
Alice Reyes,Male,47,Zucaew,8319.09
Luis Patterson,Male,55,Kozour,8854.66
Jerome Saunders,Female,33,Dewfadwic,4407.62
Mollie McCormick,Male,39,Havuluezo,5827.98
Lucas Howell,Female,56,Darason,7135.78
David Love,Male,63,Vibiwlaj,5107.87
Vernon Wade,Female,57,Tomjekkob,4681.83
Lily Sanchez,Female,30,Dofuba,9250.21
Jeanette Benson,Male,35,Leduwa,8458.06
Paul Sandoval,Female,58,Sozitwal,6097.30
Mason Walton,Male,39,Papohcen,3294.79
Emily Jacobs,Male,32,Puuvoiru,8568.90
Linnie Crawford,Female,49,Cutefgu,3334.03
Nelle Turner,Female,29,Deovva,5376.36
Marion Green,Male,37,Midgorim,1998.76
Julia Oliver,Male,28,Mifosdid,2387.55
Ola Frank,Male,22,Fouwli,8404.39
Jeremiah Franklin,Male,39,Jencele,3634.88
Allen Brooks,Female,58,Gekius,8181.62
Louise Burgess,Female,53,Gubeoj,2605.09
Dorothy Barnes,Female,34,Putunabic,948.10
Allen Drake,Female,59,Egdatapu,9930.53
Wayne Hamilton,Male,60,Gumnemwu,4256.39
Verna Dixon,Female,65,Ugajufvob,2894.70
Mayme Daniels,Male,22,Takifik,5021.80
Delia Foster,Female,44,Esatohki,1516.12
Landon Lewis,Male,41,Akuusisuj,7024.15
Agnes Cohen,Male,45,Nuduaza,1849.67
Noah Nunez,Male,19,Nelefodub,1408.53
Lucinda Pierce,Male,49,Vuunmu,7883.45
Madge Bradley,Male,53,Vaabzen,4434.71
Olivia Haynes,Female,36,Jowjida,5232.93
Mittie Campbell,Male,44,Desogna,2601.88
Katharine Knight,Female,59,Putdedas,7355.30
Mike Chandler,Female,61,Vuirdaf,6513.89
Louise Barnett,Female,52,Jacassu,4527.86
Katie Garcia,Male,41,Cuhigam,7914.27
Evelyn Wilson,Female,19,Rippakeg,5412.28
Alfred Allen,Male,28,Ocueside,2493.55
Dale Steele,Male,28,Cotidci,613.65
Isabella Palmer,Male,59,Utapopbo,5369.87
Mitchell Johnson,Female,28,Votlebluv,2679.67
Harriett Luna,Female,20,Hamotum,2899.36
Pearl Richards,Male,32,Gipukzu,8156.06
Billy Simon,Female,59,Bumticgon,9656.12
Eugene Wilkins,Male,38,Efusocpud,7076.47
Roger Curtis,Female,20,Kiaviza,6669.75
Elva Parks,Female,22,Favdegu,5032.40
Bill Swanson,Male,47,Fadewso,5694.19
Patrick McGee,Female,39,Zecekamu,3169.77
Jorge Goodwin,Male,40,Anigugum,2989.82
Eddie Matthews,Male,57,Kowrigbu,4656.38
Jose Sherman,Female,31,Lotvadis,206.95
Alexander Harmon,Female,25,Leksuscem,9473.38
Alice Lee,Female,22,Ilibijsu,5427.64
Sam Ball,Male,24,Ejebuwlig,4902.68
Christina Rhodes,Male,30,Fujweiki,8931.98
Luella Mendez,Male,31,Medgogeba,7286.07
Ralph Lambert,Female,46,Kovpiveh,4664.74
Randall Hines,Male,61,Ekazetim,730.79
Eric Armstrong,Male,64,Dadwanej,9855.63
Justin Chandler,Female,23,Ketujmuf,4624.97
Timothy Barber,Female,46,Ruvenmar,9299.90
Oscar Palmer,Female,43,Afwomu,2787.53
Logan Gomez,Male,65,Jegavvas,185.98
Russell Barrett,Female,63,Genbepot,4390.79
Dale Mendez,Male,62,Wijemri,4597.68
Devin Fields,Male,32,Fedjamca,3083.06
Brandon Burgess,Male,28,Gagpolof,1826.51
Belle Davidson,Female,36,Waswakmel,6958.03
Minerva Chapman,Male,59,Netcadal,3508.56
Ricardo Hubbard,Male,46,Kunigoazi,7009.66
Evan Guzman,Female,25,Nuwtobul,4075.94
Bernard Fleming,Female,57,Ifigepes,1809.32
Rose Hill,Female,31,Lintiahu,4804.74
Johanna Figueroa,Male,37,Gawfujdej,5486.05
Russell Curry,Female,48,Decowuj,1685.22
Ralph Thornton,Female,33,Faglawvum,7048.37
Gilbert Barber,Male,18,Tizazi,4641.34
Lily Barnes,Male,56,Jepufu,6879.21
Stanley McCoy,Female,64,Sesero,8367.53
Jennie Simpson,Female,30,Urohucgu,3354.54
Hattie Beck,Male,40,Ednive,6155.81
Nora Lambert,Male,50,Fazgibwar,5124.21
Chester Ortiz,Female,44,Mievado,8682.48
Nettie Blake,Female,21,Ipobanow,2200.40
Noah Hunt,Male,52,Foamimah,9934.14
Bernice Marsh,Female,42,Irebbe,7450.81
Clara Lloyd,Female,52,Mojjolduf,4722.31
Marian Simon,Male,29,Lagpaaha,7883.62
Elmer Torres,Female,27,Coizvir,8827.52
Rosetta Jenkins,Male,64,Zobenbos,518.74
Caroline Fletcher,Male,41,Purtomej,6135.49
Emma McCoy,Female,54,Ritewpa,9331.78
Randy King,Female,40,Wegumra,5157.76
Zachary Carter,Female,19,Lupalne,3044.01
Estella Alvarado,Female,55,Sazadisi,7687.87
Augusta Harrison,Male,43,Wabugitiw,2035.49
Celia Bennett,Male,25,Ogibudo,4762.89
Elmer Bowers,Male,58,Mucdipu,8916.32
Eugenia Bryan,Female,62,Ujjevoz,9137.36
Kenneth Owen,Male,46,Zaftezjo,782.30
Josie Love,Male,50,Icdahok,4003.94
Lois Hodges,Female,33,Razebbu,8898.64
Etta Lawson,Female,55,Harazeti,8348.45
Katherine Fowler,Male,33,Umzelab,9442.16
Evelyn Farmer,Male,51,Satwidule,839.39
Lucille Walton,Female,59,Ocetlog,7286.36
Rhoda Ramirez,Female,18,Ichoaku,4716.54
Kate Cruz,Female,48,Devebdo,1338.62
Jon Miller,Male,37,Kivouc,5273.18
Edwin Powers,Male,31,Fuveszir,6976.03
Cordelia McCarthy,Female,24,Joaztu,6904.88
Lida Munoz,Male,56,Ewefabin,8348.89
Matilda Ramos,Male,32,Kojepvav,2836.57
Dominic Stevens,Female,20,Kiasimiv,3601.94
Jesus McCormick,Female,33,Jelowib,616.17
Jesse Price,Male,28,Giovih,4092.80
Lawrence Walton,Male,34,Malkione,4850.24
Nina Todd,Male,18,Metazol,8956.98
Harriet Wagner,Female,49,Soabfod,6587.47
Theodore Wright,Female,51,Sutivgi,4467.04
Rosie Lambert,Male,53,Aloabaha,5183.20
Adrian Walker,Male,65,Nuwdocuzu,7834.41
Ann Brooks,Male,38,Ocirujka,7227.84
Alberta Schultz,Male,56,Fuapbum,1430.03
Francis McCoy,Female,52,Ziczohovu,9698.64
Kathryn Graham,Male,65,Zewouve,9783.61
Gary Howard,Male,56,Ukdesid,3524.49
Cora Garcia,Male,63,Lujarut,1003.27
Daisy Thompson,Male,34,Simcona,2700.74
Irene Vargas,Female,27,Judilpi,8649.49
Nell Strickland,Female,49,Lalatla,5292.50
Inez Townsend,Male,65,Walavoz,2775.25
Ida Owen,Female,35,Ufalahve,8024.49
Cody Gonzalez,Male,22,Amsoacu,7105.40
Dylan Schneider,Male,58,Nazevsab,9312.91
Albert Larson,Male,33,Vanluhuc,9160.85
Rosalie Carter,Male,40,Giohoeko,3765.51
Eliza Stephens,Female,32,Wakuzami,4989.30
Lois Olson,Female,40,Lomupo,2985.95
Frank Edwards,Female,64,Urkahje,3950.66
Ann Jackson,Female,52,Notuubi,6432.45
Willie Curry,Female,31,Valugod,9856.28
Lola Peterson,Female,20,Ijaujeote,7167.02
Isabel Hill,Male,18,Nojijwev,2642.59
Gertrude Frazier,Male,46,Ijkawus,4828.18
Jose Zimmerman,Female,44,Uzevoazo,6705.33
Maude Reid,Female,19,Rudsociru,9880.18
Myrtie Williamson,Female,65,Coijvij,8092.84
Wayne Payne,Male,20,Egmadzas,4378.47
Maggie Morrison,Male,53,Modgunvew,7423.25
Randall Franklin,Male,41,Ubitona,5681.49
Ida Harris,Female,36,Kowvipna,9654.30
Louis Hall,Female,49,Melevul,1927.78
Adam Fields,Male,54,Vunhuuko,4039.90
Harriet Ryan,Male,43,Ohbipgi,1142.96
Sarah Joseph,Female,32,Dufibifo,776.13
Brent Stewart,Male,53,Fudukob,6535.91
Henry Berry,Female,62,Osfovo,3052.74
Raymond Bridges,Male,51,Erecaav,291.55
Scott Gordon,Female,53,Sinavuab,6788.19
Esther Green,Male,23,Waehaga,5946.07
Jared Quinn,Female,35,Tuzmihjoh,7031.29
Inez Gonzales,Male,51,Nevvutav,4129.56
Gene French,Female,26,Zemekoseg,9901.96
Amy Guzman,Male,63,Relmitige,1771.57
Tom Knight,Female,33,Gegtuhu,2036.99
Cameron Moreno,Male,37,Wovjedema,3530.38
Albert Ward,Male,23,Uhiwuma,8214.94
Esther Fletcher,Male,26,Itvepza,558.98
Mitchell Phillips,Female,34,Fupugoso,578.35
Ricky Stevenson,Male,47,Muwlubbu,9606.26
Mollie Robbins,Male,24,Dalapol,316.57
Katherine Reeves,Male,44,Ruhejiw,2285.85
Julia Schultz,Male,28,Hehlorle,7204.57
Elizabeth Riley,Female,24,Lamnolasu,6487.85
Lester Holland,Female,33,Odbujnif,3076.76
Rhoda Gray,Female,52,Zonsacomo,7253.98
Sally Porter,Male,36,Racrumzif,6285.78
William Long,Male,32,Ujaboru,8842.29
Christian Perry,Male,51,Gabhelo,8769.09
Maurice McBride,Female,59,Negujcap,6434.08
Josie Page,Male,28,Linzennok,5802.83
Jeffrey Parker,Female,60,Kolhatu,7304.56
Donald Rhodes,Female,63,Uvatosusa,8589.66
Louisa Weber,Male,48,Zooseegi,6242.75
Lucille Day,Male,50,Ditfedzeg,3937.26
Jose Mendez,Male,40,Fokepo,2241.09
Benjamin Mendez,Female,38,Vidihnu,6052.53
Lucy Sandoval,Female,35,Atfughuc,4548.18
Jeanette Martinez,Female,45,Datuas,60.06
Alex Bradley,Female,50,Lajjucosu,9392.67
Allie Ellis,Female,43,Iwimifha,2051.42
Clarence Steele,Male,35,Futavaj,8788.30
Marcus Evans,Male,50,Tumuez,1911.98
Alfred Hart,Male,47,Dagiga,8939.00
Myra Caldwell,Male,38,Ebakehek,7243.73
Stephen Guerrero,Female,51,Ukiutsaj,7571.31
Susie Fisher,Male,24,Heocabu,1193.69
Herman Hall,Female,31,Gakuboug,9136.15
Lucille Romero,Female,21,Zatukeha,1472.33
Madge Wise,Female,29,Zibfimji,468.89
Ray Mack,Male,27,Cojsuul,7627.01
Fanny Kennedy,Male,48,Robuvpu,996.54
Myra Watkins,Male,40,Salesog,9725.46
Della Frazier,Male,53,Benoriga,1747.09
Lou Thomas,Male,29,Ugtovu,8391.64
Georgie Richardson,Female,65,Hezcoes,787.26
Ivan Todd,Female,63,Dujjozoj,4354.12
Edward Barton,Female,27,Torposiw,3252.10
Cynthia Wilson,Female,63,Duzuva,9119.97
Andrew Griffith,Female,40,Locwavana,5012.61
Tyler Roberson,Male,53,Welopap,5714.13
Fanny Ingram,Male,29,Tibafa,5704.44
Jason Williamson,Female,25,Egwosra,6875.42
Brian Newton,Female,21,Vajwabjok,1683.64
Belle Diaz,Female,44,Jafatme,4804.73
Winnie Norton,Female,33,Paecar,206.82
Kyle Ruiz,Male,27,Boduwal,2604.16
Lizzie Warner,Male,20,Afubehef,4373.82
Dylan Owens,Male,38,Ukouzovu,7332.79
Blanche Hart,Female,27,Dicilar,2707.18
Jared Martin,Male,31,Lelofiehu,2037.54
Steve Webb,Male,27,Enlaro,5268.61
Jason Patrick,Female,62,Vodaca,6345.09
Louisa Lee,Male,22,Potosfuh,9025.61
Alejandro Ramsey,Female,64,Veledsuz,9126.69
Jeremiah Barton,Female,55,Akiajmis,4471.72
Benjamin Pierce,Male,60,Gadisje,4657.55
Pearl Richardson,Male,33,Dadufseh,3001.78
Stella Patton,Male,53,Kebumaf,1353.98
Brandon Lawrence,Male,25,Kenavu,3646.74
Theodore Blair,Male,52,Edirarka,58.59
Christine Logan,Male,18,Howkoljiw,171.72
Abbie Kim,Male,56,Nuwutda,2965.09
Sarah Morris,Male,37,Aczabef,9205.35
Johanna Arnold,Female,58,Bavabag,8070.01
Mario Fitzgerald,Female,29,Liozuwoc,8180.86
Bettie Garza,Female,40,Nolsarat,1090.21
Kate Hampton,Male,26,Sufekma,7550.62
Samuel Jennings,Male,47,Tabetewow,6064.97
Aaron Hunter,Female,21,Ruruvvi,7995.45
Phoebe Rios,Female,59,Vavnovu,968.11
Jesse Fletcher,Female,24,Fivzuuji,3726.89
Curtis Moody,Female,40,Wemsohbu,6457.14
Bruce Todd,Female,28,Lagouta,9367.62
Virgie Baker,Female,58,Uphuga,9891.09
Kenneth Sherman,Male,21,Ilgizi,2591.95
Hunter Osborne,Male,29,Nebihze,7400.27
Jerry Rhodes,Female,58,Etrigwit,5578.30
Lula Bailey,Female,61,Ripsovvuj,405.64
Nell Bell,Female,24,Ubwarvuj,1992.34
Connor Cook,Male,38,Pozibiw,6707.74
Ray Malone,Female,63,Duvpeja,5812.65
Connor Lee,Male,52,Lodlacjih,3317.11
Randy Hubbard,Male,51,Bugjarzu,354.80
Chester Tate,Male,38,Cujeir,4336.11
Ryan Wade,Female,51,Upuladi,1782.42
Michael Austin,Male,27,Ugeronloj,2007.48
Janie Zimmerman,Male,43,Kewetku,2640.67
Juan Maldonado,Male,39,Aljoshoj,9876.51
Alfred Lyons,Female,65,Luwniete,2243.41
Sylvia Baldwin,Female,61,Nedwuhloz,3437.79
Nora Chandler,Female,52,Omawifo,2720.41
Sophia Parsons,Female,31,Mupuep,6940.08
Harvey Mendoza,Male,60,Uvwullu,6129.38
Sam Reyes,Male,34,Furotol,5546.94
Adele Carr,Male,58,Ewsaike,9014.56
Peter Klein,Female,58,Bapauf,2232.15
Lucinda Carson,Male,56,Usfekno,6886.55
Brandon Lyons,Female,60,Wojohrav,727.48
Pauline Edwards,Male,61,Untiudi,1766.89
Ollie Ingram,Female,29,Gavorad,3621.56
Lulu Gonzalez,Male,25,Hulawho,2457.77
Eliza Jackson,Male,53,Gogtise,2201.67
Christian Craig,Female,64,Dohnoaji,4266.28
Rosa Tyler,Male,60,Wegajcot,8463.19
Glenn Reid,Male,53,Keutit,1617.33
Joseph Quinn,Male,23,Soznikje,1795.69
Rosalie Schwartz,Male,37,Woranace,1315.54
Beatrice Weber,Female,24,Parowli,7034.56
Mattie Hudson,Male,24,Opinusza,2407.17
Elijah Gill,Male,57,Zoutiug,3776.17
Trevor Nash,Male,35,Tufhaghab,5103.22
Harriet Miller,Female,26,Ziulugug,8181.60
Alex Lawson,Male,62,Papvivdo,3857.25
Agnes Morris,Male,62,Viizutuk,313.36
Frances Daniels,Male,35,Ewjotpuf,9236.10
Maud Erickson,Male,22,Riojouf,1531.47
Emily Silva,Female,51,Modepi,5384.39
Thomas Rowe,Male,23,Awaadinav,776.15
Travis Armstrong,Female,25,Fopfibfe,7491.67
Logan Murray,Male,40,Gawuak,5909.64
Donald Arnold,Female,62,Awarasac,1612.62
Herbert Moreno,Female,22,Kurieho,7288.62
Tom Francis,Male,65,Zoahoaj,8390.50
Glenn Poole,Male,65,Buneluv,5947.25
Helena Taylor,Female,56,Nilkedsam,8501.57
Christine Cruz,Male,19,Secnulof,9267.31
Benjamin Perkins,Male,45,Tetvuci,937.31
Ollie Newton,Female,63,Totlisca,839.99
Kyle Bishop,Male,54,Hivtafab,1662.62
Dora Austin,Female,19,Jiwnogve,1096.82
Linnie Colon,Female,51,Tuapowe,9404.27
Marguerite Lambert,Female,58,Intibcaj,9371.22
Dennis Benson,Male,63,Fueramec,5174.22
Michael Sanchez,Female,46,Dojfazkok,5845.95
Marie Gordon,Male,25,Wuikeva,7639.94
Winifred Miles,Male,19,Ruakja,4274.85
Birdie Becker,Female,62,Pimivo,3483.13
Mable Wheeler,Male,20,Zikwunvuh,7127.61
Ethel Ross,Male,63,Vatlenso,4717.17
Sophie Buchanan,Male,54,Kisvuzu,7058.51
Marie Ortega,Female,58,Bedimje,6643.56
Harold Collins,Female,39,Amcuclus,9957.12
Isabel Jimenez,Male,46,Raknaruda,7977.45
Lelia Hogan,Male,50,Tuvsiwim,9782.29
Tillie Glover,Female,59,Numijaco,6298.95
Randy Sanders,Female,30,Saihfo,9884.48
Gregory Ramirez,Male,39,Ezricir,7016.55
Mina Lyons,Female,33,Amviwa,1846.99
Lucy Gray,Male,56,Ledizin,2642.80
Ollie Clarke,Female,40,Wojdibhe,3291.65
Harry Colon,Female,47,Potmane,2399.76
Harriet Hart,Male,32,Pozirubez,2975.49
Addie Baker,Male,30,Lokmepzi,7194.61
Gabriel Curtis,Female,53,Arejucpo,3433.42
Mattie Dennis,Male,41,Wumeprab,3834.51
Ray Rios,Male,30,Libcewwe,4443.54
Bertie Ray,Female,47,Zobawa,5375.95
Fannie Clark,Male,38,Ahnutti,3189.58
Callie Boone,Male,30,Sasihtu,6154.42
Marguerite Casey,Female,63,Venakag,7218.56
Bettie Phillips,Male,24,Obaliocu,4150.23
Blanche Olson,Female,48,Imhidi,3641.00
Lloyd Baker,Female,52,Gufnolup,8961.58
Dale Fernandez,Female,47,Bodbetco,5532.54
Melvin Castro,Female,56,Puosecu,9427.08
Margaret Hogan,Male,37,Zeinja,4230.25
Gene Tran,Female,34,Ubhugelu,4035.10
Jimmy Long,Male,55,Femuve,320.12
Gavin Pratt,Male,32,Olaozeewa,8197.25
Micheal Jefferson,Female,64,Ragnapora,4983.65
Willie McCarthy,Female,58,Uwewoag,5471.15
Paul Atkins,Male,58,Bosavo,5223.26
Matthew Sutton,Male,20,Muubmeg,8291.29
Willie Jackson,Female,45,Rimipo,6394.93
Eric Cook,Male,20,Mozeah,8324.24
Michael Rios,Male,25,Cibakegi,9268.07
Ian Hardy,Male,35,Cuzmigfu,827.41
Myra Payne,Female,42,Juumke,9837.21
Sue Bailey,Female,24,Eflouri,7618.14
Aaron Gibson,Male,49,Duosace,5914.08
Rosie Hawkins,Female,48,Numovehup,778.99
Bruce Mack,Male,21,Wuirke,9856.95
Elsie Ramirez,Male,54,Zuwzijtim,6933.33
Alberta Mendoza,Male,65,Patamsa,1271.66
Jeremiah Woods,Male,33,Uvouvirib,5862.88
Clarence Castro,Male,33,Iroloaw,8613.65
Ralph Robbins,Male,37,Hotovane,8041.26
Cynthia Murphy,Male,44,Mileij,6850.23
Richard Butler,Female,26,Lotugic,729.44
Gavin Bryan,Male,39,Gojvehep,8446.18
Alejandro Colon,Male,65,Jeejtu,6320.50
Marian Ryan,Male,60,Zoddefi,6722.44
Lettie Hall,Female,63,Datokal,4068.68
Travis Garner,Male,52,Naktepo,3245.68
Henrietta Murphy,Male,39,Owaweri,3112.28
Ola Nunez,Female,37,Noovara,6339.39
Ida Williamson,Male,32,Behewuz,2830.99
Blake Fox,Male,54,Izuwoglas,5853.97
Calvin Brewer,Male,38,Pituneku,1942.69
Katherine Burgess,Male,56,Sohnimic,7714.75
Rodney Hunter,Male,21,Huprazded,4313.62
Nathaniel Gonzales,Female,35,Ahifadren,3945.74
Terry Quinn,Female,51,Omsuba,6063.76
Isabelle Harper,Male,46,Bultaere,1150.17
Caleb Reyes,Male,47,Defmupgur,2095.55
Bernice Cannon,Male,18,Vucmurwu,4790.18
Lilly Potter,Male,51,Idohri,538.44
Jayden Lawrence,Female,38,Gapwoguf,7792.50
Darrell Hines,Male,39,Ecegicu,1261.43
Minerva Payne,Male,42,Wesdado,4266.73
Devin Rodgers,Male,44,Dihkimsu,671.21
Belle Freeman,Male,52,Libuhipi,5935.15
Daniel Atkins,Male,28,Ehizioso,5482.01
Cameron Osborne,Female,54,Imogapvec,4596.75
Matthew Douglas,Female,62,Apmodezo,8075.98
Louis Scott,Female,62,Cisaba,41.04
Ella Stewart,Male,30,Ukliiv,3769.67
Sophia Lane,Male,55,Cipgiok,9187.02
Cory Flores,Male,56,Ririgi,8908.75
Mason Hicks,Female,27,Ciklekew,9302.12
Betty Murphy,Female,22,Onitewap,8265.72
Mary Roy,Female,50,Kuvizse,6033.55
Tom Cooper,Female,41,Ugjorjum,2340.81
Cynthia Williams,Female,59,Ucuvualu,1827.93
Landon Luna,Male,30,Zohpene,3419.33
Mildred Harris,Female,25,Tefgedij,5496.15
Rhoda Hunter,Male,48,Wacaspan,1502.44
Tony Bell,Male,44,Lukidmuf,8534.77
Sam Pittman,Female,43,Akumunko,5679.84
Vernon Adkins,Female,19,Jirjizeb,9549.77
Gary Colon,Male,65,Sosibon,5542.26
Carolyn Allen,Male,49,Riuzote,5042.35
Steve Sullivan,Male,35,Cogkuhul,9109.37
Douglas Swanson,Male,49,Logunda,790.16
Henry Bailey,Female,24,Rithajve,7867.00
Luella Robbins,Male,65,Ozbecli,4098.07
Cole Ray,Male,38,Zaagre,9733.12
Rebecca Wagner,Male,23,Pumomdos,7083.70
Virginia Medina,Male,29,Zudenmu,985.66
Lucille Estrada,Male,37,Udurofsow,5208.84
Mayme Bates,Female,24,Afihojsa,6564.74
Rosalie Adkins,Male,22,Attara,312.01
Micheal Jordan,Female,23,Fufibo,8408.24
Douglas Baldwin,Male,27,Cehefel,6082.55
Allie Horton,Female,39,Zagenifo,6652.67
Victoria Hunt,Female,51,Sopanowa,809.04
Edgar Curtis,Male,61,Dednedces,4642.04
Josie Moss,Female,32,Dagife,5629.89
Jonathan Sherman,Male,24,Rajmezkib,8660.63
Danny Robertson,Male,32,Jornipsej,420.11
Jared Grant,Male,54,Efurokek,3305.18
Tommy Davidson,Female,53,Gioceviz,4848.99
Robert Berry,Female,38,Torecud,1301.46
Francis Gibbs,Male,49,Fuodute,9243.15
Dora Figueroa,Female,39,Vudihep,6863.98
Scott Foster,Male,39,Junjepgu,4663.28
Theodore Stokes,Male,29,Zejuvpaf,146.03
Jonathan Gutierrez,Male,56,Wiafdev,8436.56
Nancy Shaw,Male,64,Ajigejcah,7959.06
Lenora Carr,Male,61,Zupnobjug,9554.69
Eugene Copeland,Female,52,Hopirunu,2249.14
